2025-09-07 16:18:33 [INFO] robots.txt loaded from https://robotwin-platform.github.io/robots.txt
2025-09-07 16:18:35 [INFO] Sitemap seeded: queue size now 1
2025-09-07 16:18:35 [INFO] Start crawl: base=https://robotwin-platform.github.io/doc/  out=/home/liwenbo/project/FlashRAG/construct_data/corpus_out
2025-09-07 16:20:04 [INFO] [104/2000000] Fetch #103: https://robotwin-platform.github.io/doc/objects/024_scanner.html (queue=15267)
2025-09-07 16:20:05 [INFO] [105/2000000] Fetch #104: https://robotwin-platform.github.io/doc/objects/025_chips-tub.html (queue=15363)
2025-09-07 16:20:05 [INFO] [106/2000000] Fetch #105: https://robotwin-platform.github.io/doc/objects/026_pet-collar.html (queue=15458)
2025-09-07 16:20:06 [INFO] [107/2000000] Fetch #106: https://robotwin-platform.github.io/doc/objects/027_table-tennis.html (queue=15552)
2025-09-07 16:20:07 [INFO] [108/2000000] Fetch #107: https://robotwin-platform.github.io/doc/objects/028_roll-paper.html (queue=15645)
2025-09-07 16:20:08 [INFO] [109/2000000] Fetch #108: https://robotwin-platform.github.io/doc/objects/029_olive-oil.html (queue=15737)
2025-09-07 16:20:09 [INFO] [110/2000000] Fetch #109: https://robotwin-platform.github.io/doc/objects/030_drill.html (queue=15828)
2025-09-07 16:20:09 [INFO] [HEARTBEAT] pages=110 failed=0 chunks=110 deduped=1 queue~15919 elapsed=94.6s
2025-09-07 16:20:10 [INFO] [111/2000000] Fetch #110: https://robotwin-platform.github.io/doc/objects/031_jam-jar.html (queue=15918)
2025-09-07 16:20:11 [INFO] [112/2000000] Fetch #111: https://robotwin-platform.github.io/doc/objects/032_screwdriver.html (queue=16007)
2025-09-07 16:20:11 [INFO] [113/2000000] Fetch #112: https://robotwin-platform.github.io/doc/objects/033_fork.html (queue=16095)
2025-09-07 16:20:12 [INFO] [114/2000000] Fetch #113: https://robotwin-platform.github.io/doc/objects/034_knife.html (queue=16182)
2025-09-07 16:20:13 [INFO] [115/2000000] Fetch #114: https://robotwin-platform.github.io/doc/objects/035_apple.html (queue=16268)
2025-09-07 16:20:14 [INFO] [116/2000000] Fetch #115: https://robotwin-platform.github.io/doc/objects/036_cabinet.html (queue=16353)
2025-09-07 16:20:15 [INFO] [117/2000000] Fetch #116: https://robotwin-platform.github.io/doc/objects/037_box.html (queue=16437)
2025-09-07 16:20:16 [INFO] [118/2000000] Fetch #117: https://robotwin-platform.github.io/doc/objects/038_milk-box.html (queue=16520)
2025-09-07 16:20:17 [INFO] [119/2000000] Fetch #118: https://robotwin-platform.github.io/doc/objects/039_mug.html (queue=16602)
2025-09-07 16:20:17 [INFO] [120/2000000] Fetch #119: https://robotwin-platform.github.io/doc/objects/040_rack.html (queue=16683)
2025-09-07 16:20:18 [INFO] [HEARTBEAT] pages=120 failed=0 chunks=120 deduped=1 queue~16764 elapsed=103.3s
2025-09-07 16:20:18 [INFO] [121/2000000] Fetch #120: https://robotwin-platform.github.io/doc/objects/041_shoe.html (queue=16763)
2025-09-07 16:20:19 [INFO] [122/2000000] Fetch #121: https://robotwin-platform.github.io/doc/objects/042_wooden_box.html (queue=16842)
2025-09-07 16:20:20 [INFO] [123/2000000] Fetch #122: https://robotwin-platform.github.io/doc/objects/043_book.html (queue=16920)
2025-09-07 16:20:21 [INFO] [124/2000000] Fetch #123: https://robotwin-platform.github.io/doc/objects/044_microwave.html (queue=16997)
2025-09-07 16:20:22 [INFO] [125/2000000] Fetch #124: https://robotwin-platform.github.io/doc/objects/045_sand-clock.html (queue=17073)
2025-09-07 16:20:23 [INFO] [126/2000000] Fetch #125: https://robotwin-platform.github.io/doc/objects/046_alarm-clock.html (queue=17148)
2025-09-07 16:20:23 [INFO] [127/2000000] Fetch #126: https://robotwin-platform.github.io/doc/objects/047_mouse.html (queue=17222)
2025-09-07 16:20:24 [INFO] [128/2000000] Fetch #127: https://robotwin-platform.github.io/doc/objects/048_stapler.html (queue=17295)
2025-09-07 16:20:25 [INFO] [129/2000000] Fetch #128: https://robotwin-platform.github.io/doc/objects/049_shampoo.html (queue=17367)
2025-09-07 16:20:26 [INFO] [130/2000000] Fetch #129: https://robotwin-platform.github.io/doc/objects/050_bell.html (queue=17438)
2025-09-07 16:20:26 [INFO] [HEARTBEAT] pages=130 failed=0 chunks=130 deduped=1 queue~17509 elapsed=111.9s
2025-09-07 16:20:27 [INFO] [131/2000000] Fetch #130: https://robotwin-platform.github.io/doc/objects/051_candlestick.html (queue=17508)
2025-09-07 16:20:28 [INFO] [132/2000000] Fetch #131: https://robotwin-platform.github.io/doc/objects/052_dumbbell.html (queue=17577)
2025-09-07 16:20:29 [INFO] [133/2000000] Fetch #132: https://robotwin-platform.github.io/doc/objects/053_teanet.html (queue=17645)
2025-09-07 16:20:30 [INFO] [134/2000000] Fetch #133: https://robotwin-platform.github.io/doc/objects/054_baguette.html (queue=17712)
2025-09-07 16:20:30 [INFO] [135/2000000] Fetch #134: https://robotwin-platform.github.io/doc/objects/055_small-speaker.html (queue=17778)
2025-09-07 16:20:31 [INFO] [136/2000000] Fetch #135: https://robotwin-platform.github.io/doc/objects/056_switch.html (queue=17843)
2025-09-07 16:20:32 [INFO] [137/2000000] Fetch #136: https://robotwin-platform.github.io/doc/objects/057_toycar.html (queue=17907)
2025-09-07 16:20:33 [INFO] [138/2000000] Fetch #137: https://robotwin-platform.github.io/doc/objects/058_markpen.html (queue=17970)
2025-09-07 16:20:34 [INFO] [139/2000000] Fetch #138: https://robotwin-platform.github.io/doc/objects/059_pencup.html (queue=18032)
2025-09-07 16:20:35 [INFO] [140/2000000] Fetch #139: https://robotwin-platform.github.io/doc/objects/060_kitchenpot.html (queue=18093)
2025-09-07 16:20:35 [INFO] [HEARTBEAT] pages=140 failed=0 chunks=140 deduped=1 queue~18154 elapsed=120.5s
2025-09-07 16:20:36 [INFO] [141/2000000] Fetch #140: https://robotwin-platform.github.io/doc/objects/061_battery.html (queue=18153)
2025-09-07 16:20:36 [INFO] [142/2000000] Fetch #141: https://robotwin-platform.github.io/doc/objects/062_plasticbox.html (queue=18212)
2025-09-07 16:20:37 [INFO] [143/2000000] Fetch #142: https://robotwin-platform.github.io/doc/objects/063_tabletrashbin.html (queue=18270)
2025-09-07 16:20:38 [INFO] [144/2000000] Fetch #143: https://robotwin-platform.github.io/doc/objects/064_msg.html (queue=18327)
2025-09-07 16:20:39 [INFO] [145/2000000] Fetch #144: https://robotwin-platform.github.io/doc/objects/065_soy-sauce.html (queue=18383)
2025-09-07 16:20:40 [INFO] [146/2000000] Fetch #145: https://robotwin-platform.github.io/doc/objects/066_vinegar.html (queue=18438)
2025-09-07 16:20:41 [INFO] [147/2000000] Fetch #146: https://robotwin-platform.github.io/doc/objects/067_steamer.html (queue=18492)
2025-09-07 16:20:42 [INFO] [148/2000000] Fetch #147: https://robotwin-platform.github.io/doc/objects/068_boxdrink.html (queue=18545)
2025-09-07 16:20:43 [INFO] [149/2000000] Fetch #148: https://robotwin-platform.github.io/doc/objects/069_vagetable.html (queue=18597)
2025-09-07 16:20:43 [INFO] [150/2000000] Fetch #149: https://robotwin-platform.github.io/doc/objects/070_paymentsign.html (queue=18648)
2025-09-07 16:20:44 [INFO] [HEARTBEAT] pages=150 failed=0 chunks=150 deduped=1 queue~18699 elapsed=129.3s
2025-09-07 16:20:44 [INFO] [151/2000000] Fetch #150: https://robotwin-platform.github.io/doc/objects/071_can.html (queue=18698)
2025-09-07 16:20:45 [INFO] [152/2000000] Fetch #151: https://robotwin-platform.github.io/doc/objects/072_electronicscale.html (queue=18747)
2025-09-07 16:20:46 [INFO] [153/2000000] Fetch #152: https://robotwin-platform.github.io/doc/objects/073_rubikscube.html (queue=18795)
2025-09-07 16:20:47 [INFO] [154/2000000] Fetch #153: https://robotwin-platform.github.io/doc/objects/074_displaystand.html (queue=18842)
2025-09-07 16:20:48 [INFO] [155/2000000] Fetch #154: https://robotwin-platform.github.io/doc/objects/075_bread.html (queue=18888)
2025-09-07 16:20:49 [INFO] [156/2000000] Fetch #155: https://robotwin-platform.github.io/doc/objects/076_breadbasket.html (queue=18933)
2025-09-07 16:20:50 [INFO] [157/2000000] Fetch #156: https://robotwin-platform.github.io/doc/objects/077_phone.html (queue=18977)
2025-09-07 16:20:50 [INFO] [158/2000000] Fetch #157: https://robotwin-platform.github.io/doc/objects/078_phonestand.html (queue=19020)
2025-09-07 16:20:51 [INFO] [159/2000000] Fetch #158: https://robotwin-platform.github.io/doc/objects/079_remotecontrol.html (queue=19062)
2025-09-07 16:20:52 [INFO] [160/2000000] Fetch #159: https://robotwin-platform.github.io/doc/objects/080_pillbottle.html (queue=19103)
2025-09-07 16:20:52 [INFO] [HEARTBEAT] pages=160 failed=0 chunks=160 deduped=1 queue~19144 elapsed=137.9s
2025-09-07 16:20:53 [INFO] [161/2000000] Fetch #160: https://robotwin-platform.github.io/doc/objects/081_playingcards.html (queue=19143)
2025-09-07 16:20:54 [INFO] [162/2000000] Fetch #161: https://robotwin-platform.github.io/doc/objects/082_smallshovel.html (queue=19182)
2025-09-07 16:20:55 [INFO] [163/2000000] Fetch #162: https://robotwin-platform.github.io/doc/objects/083_brush.html (queue=19220)
2025-09-07 16:20:56 [INFO] [164/2000000] Fetch #163: https://robotwin-platform.github.io/doc/objects/084_woodenmallet.html (queue=19257)
2025-09-07 16:20:56 [INFO] [165/2000000] Fetch #164: https://robotwin-platform.github.io/doc/objects/085_gong.html (queue=19293)
2025-09-07 16:20:57 [INFO] [166/2000000] Fetch #165: https://robotwin-platform.github.io/doc/objects/086_woodenblock.html (queue=19328)
2025-09-07 16:20:58 [INFO] [167/2000000] Fetch #166: https://robotwin-platform.github.io/doc/objects/087_waterer.html (queue=19362)
2025-09-07 16:20:59 [INFO] [168/2000000] Fetch #167: https://robotwin-platform.github.io/doc/objects/088_wineglass.html (queue=19395)
2025-09-07 16:21:00 [INFO] [169/2000000] Fetch #168: https://robotwin-platform.github.io/doc/objects/089_globe.html (queue=19427)
2025-09-07 16:21:01 [INFO] [170/2000000] Fetch #169: https://robotwin-platform.github.io/doc/objects/090_trophy.html (queue=19458)
2025-09-07 16:21:01 [INFO] [HEARTBEAT] pages=170 failed=0 chunks=170 deduped=1 queue~19489 elapsed=146.6s
2025-09-07 16:21:02 [INFO] [171/2000000] Fetch #170: https://robotwin-platform.github.io/doc/objects/091_kettle.html (queue=19488)
